Logger,Plot,Timestamp,Variable,Value,Depth_cm
12,Control,2026-06-07T22:20:00Z,Temp,19.41,30
12,Control,2026-06-07T22:20:00Z,PerAirSat,0,50
12,Control,2026-06-07T22:20:00Z,Temp,19.41,50
12,Control,2026-06-07T22:30:00Z,PerAirSat,103.3,5
12,Control,2026-06-07T22:30:00Z,Temp,19.43,5
12,Control,2026-06-07T22:30:00Z,PerAirSat,97.7,15
12,Control,2026-06-07T22:30:00Z,Temp,19.43,15
12,Control,2026-06-07T22:30:00Z,PerAirSat,93.2,30
12,Control,2026-06-07T22:30:00Z,Temp,19.43,30
12,Control,2026-06-07T22:30:00Z,PerAirSat,0,50
12,Control,2026-06-07T22:30:00Z,Temp,19.43,50
12,Control,2026-06-07T22:40:00Z,PerAirSat,103.1,5
12,Control,2026-06-07T22:40:00Z,Temp,19.45,5
12,Control,2026-06-07T22:40:00Z,PerAirSat,97.7,15
12,Control,2026-06-07T22:40:00Z,Temp,19.45,15
12,Control,2026-06-07T22:40:00Z,PerAirSat,93.3,30
12,Control,2026-06-07T22:40:00Z,Temp,19.45,30
12,Control,2026-06-07T22:40:00Z,PerAirSat,0,50
12,Control,2026-06-07T22:40:00Z,Temp,19.45,50
12,Control,2026-06-07T22:50:00Z,PerAirSat,103.2,5
12,Control,2026-06-07T22:50:00Z,Temp,19.45,5
12,Control,2026-06-07T22:50:00Z,PerAirSat,97.6,15
12,Control,2026-06-07T22:50:00Z,Temp,19.45,15
12,Control,2026-06-07T22:50:00Z,PerAirSat,93.2,30
12,Control,2026-06-07T22:50:00Z,Temp,19.45,30
12,Control,2026-06-07T22:50:00Z,PerAirSat,0,50
12,Control,2026-06-07T22:50:00Z,Temp,19.45,50
12,Control,2026-06-07T23:00:00Z,PerAirSat,103.2,5
12,Control,2026-06-07T23:00:00Z,Temp,19.46,5
12,Control,2026-06-07T23:00:00Z,PerAirSat,97.7,15
12,Control,2026-06-07T23:00:00Z,Temp,19.46,15
12,Control,2026-06-07T23:00:00Z,PerAirSat,93.3,30
12,Control,2026-06-07T23:00:00Z,Temp,19.46,30
12,Control,2026-06-07T23:00:00Z,PerAirSat,0,50
12,Control,2026-06-07T23:00:00Z,Temp,19.46,50
12,Control,2026-06-07T23:10:00Z,PerAirSat,103,5
12,Control,2026-06-07T23:10:00Z,Temp,19.47,5
12,Control,2026-06-07T23:10:00Z,PerAirSat,97.5,15
12,Control,2026-06-07T23:10:00Z,Temp,19.47,15
12,Control,2026-06-07T23:10:00Z,PerAirSat,93.3,30
12,Control,2026-06-07T23:10:00Z,Temp,19.47,30
12,Control,2026-06-07T23:10:00Z,PerAirSat,0,50
12,Control,2026-06-07T23:10:00Z,Temp,19.47,50
12,Control,2026-06-07T23:20:00Z,PerAirSat,103.1,5
12,Control,2026-06-07T23:20:00Z,Temp,19.48,5
12,Control,2026-06-07T23:20:00Z,PerAirSat,97.5,15
12,Control,2026-06-07T23:20:00Z,Temp,19.48,15
12,Control,2026-06-07T23:20:00Z,PerAirSat,93.4,30
12,Control,2026-06-07T23:20:00Z,Temp,19.48,30
12,Control,2026-06-07T23:20:00Z,PerAirSat,0,50
12,Control,2026-06-07T23:20:00Z,Temp,19.48,50
12,Control,2026-06-07T23:30:00Z,PerAirSat,103.1,5
12,Control,2026-06-07T23:30:00Z,Temp,19.48,5
12,Control,2026-06-07T23:30:00Z,PerAirSat,97.6,15
12,Control,2026-06-07T23:30:00Z,Temp,19.48,15
12,Control,2026-06-07T23:30:00Z,PerAirSat,93.3,30
12,Control,2026-06-07T23:30:00Z,Temp,19.48,30
12,Control,2026-06-07T23:30:00Z,PerAirSat,0,50
12,Control,2026-06-07T23:30:00Z,Temp,19.48,50
12,Control,2026-06-07T23:40:00Z,PerAirSat,103.2,5
12,Control,2026-06-07T23:40:00Z,Temp,19.48,5
12,Control,2026-06-07T23:40:00Z,PerAirSat,97.6,15
12,Control,2026-06-07T23:40:00Z,Temp,19.48,15
12,Control,2026-06-07T23:40:00Z,PerAirSat,93.3,30
12,Control,2026-06-07T23:40:00Z,Temp,19.48,30
12,Control,2026-06-07T23:40:00Z,PerAirSat,0,50
12,Control,2026-06-07T23:40:00Z,Temp,19.48,50
12,Control,2026-06-07T23:50:00Z,PerAirSat,103.1,5
12,Control,2026-06-07T23:50:00Z,Temp,19.47,5
12,Control,2026-06-07T23:50:00Z,PerAirSat,97.6,15
12,Control,2026-06-07T23:50:00Z,Temp,19.47,15
12,Control,2026-06-07T23:50:00Z,PerAirSat,93.3,30
12,Control,2026-06-07T23:50:00Z,Temp,19.48,30
12,Control,2026-06-07T23:50:00Z,PerAirSat,0,50
12,Control,2026-06-07T23:50:00Z,Temp,19.47,50
12,Control,2026-06-08T00:00:00Z,PerAirSat,103.2,5
12,Control,2026-06-08T00:00:00Z,Temp,19.47,5
12,Control,2026-06-08T00:00:00Z,PerAirSat,97.7,15
12,Control,2026-06-08T00:00:00Z,Temp,19.47,15
12,Control,2026-06-08T00:00:00Z,PerAirSat,93.4,30
